Media_Online,Seed_URL,URL_Word,Parent_Page,Anchor_Text,Surrounding_Text,Class
cnnindonesia,https://www.cnnindonesia.com/gaya-hidup/20190417135248-269-387195/tahun-ini-kelimutu-mendaftar-sebagai-geopark-nasional,0.58,0.89,0.53,0.78,1
cnnindonesia,https://www.cnnindonesia.com/gaya-hidup/20190106104003-269-358766/tersasar-di-geopark-pongkor,0.53,0.76,0.58,0.78,1
cnnindonesia,https://www.cnnindonesia.com/gaya-hidup/20190121182410-269-362578/manfaat-menjelajahi-di-kawasan-wisata-alam,0.46,0.52,0.35,0.35,0
cnnindonesia,https://www.cnnindonesia.com/gaya-hidup/20190130074152-269-364933/belitung-menuju-unesco-global-geopark,0.53,0.81,0.53,0.75,1
cnnindonesia,https://www.cnnindonesia.com/gaya-hidup/20190613150907-269-403027/yachter-mancanegara-bakal-sambangi-natuna-pertengahan-juni,0,0.69,0.22,0.75,0
cnnindonesia,https://www.cnnindonesia.com/gaya-hidup/20190625053157-269-406063/geopark-meratus-akan-didaftarkan-ke-unesco,0.53,0.84,0.53,0.75,1
cnnindonesia,https://www.cnnindonesia.com/tv/20190510135925-405-393722/video-pesona-alam-geopark-batu,0.6,0.75,0.58,0.64,1
cnnindonesia,https://www.cnnindonesia.com/gaya-hidup/20190312101339-269-376424/natuna-resmi-berstatus-geopark-nasional,0.58,0.69,0.53,0.75,1
detik,https://travel.detik.com/travel-news/d-4841772/preman-digulung-wisatawan-geopark-ciletuh-inginkan-aksi-preventif?_ga=2.123643459.954688674.1582443345-236416681.1571536150,0.66,0.85,0.85,0,1
detik,https://news.detik.com/berita-jawa-barat/d-4839220/nyamar-jadi-pengunjung-polisi-sukabumi-bekuk-komplotan-pemalak-wisatawan?_ga=2.190745315.954688674.1582443345-236416681.1571536150,0.26,0.75,0.71,0,1
detik,https://travel.detik.com/domestic-destination/d-4780364/aduhai-cantiknya-hot-mom-wulan-guritno-di-geopark-ciletuh?_ga=2.165709174.954688674.1582443345-236416681.1571536150,0.66,0.85,0.71,0,1
detik,https://travel.detik.com/travel-news/d-4688699/jabar-kucurkan-rp-10-m-untuk-objek-wisata-geopark-ciletuh?_ga=2.236890057.954688674.1582443345-236416681.1571536150,0.7,0.79,0.75,0,1
detik,https://travel.detik.com/dtravelers_stories/u-4651478/7-keajaiban-alam-di-geopark-ciletuh?_ga=2.231351255.954688674.1582443345-236416681.1571536150,0.72,1,0.27,0,1
detik,https://travel.detik.com/travel-news/d-4613007/dorong-wisata-seni-geopark-ciletuh-bakal-punya-amphitheater?_ga=2.168411881.954688674.1582443345-236416681.1571536150,0.7,0.92,0.71,0,1
detik,https://news.detik.com/berita-jawa-barat/d-4553707/penampakan-sampah-menumpuk-di-pantai-loji-geopark-ciletuh?_ga=2.136302329.954688674.1582443345-236416681.1571536150,0.66,0.85,0.71,0,1
detik,https://travel.detik.com/travel-news/d-4546939/tahun-2021-ke-geopark-ciletuh-bisa-lewat-laut?_ga=2.168857193.954688674.1582443345-236416681.1571536150,0.66,0.85,0.76,0,1
detik,https://travel.detik.com/dtravelers_photos/u-4434179/dihipnotis-keindahan-geopark-ciletuh?_ga=2.198625639.954688674.1582443345-236416681.1571536150,0.66,0.72,0.35,0,1
