No,Tahun,Media_Online,Seed_URL,URL_Word,Parent_Page,Anchor_Text,Surrounding_Text,Class
608,2017,tempo,https://nasional.tempo.co/read/850953/kembangkan-ciletuh-jawa-barat-gandeng-delapan-partner,0.61,0.98,0.0,0.0,1
609,2017,tempo,https://nasional.tempo.co/read/872861/pemprov-dorong-ciletuh-pelabuhan-ratu-jadi-destinasi-wisata-dunia,0.67,0.98,0.0,0.0,1
610,2017,tempo,https://nasional.tempo.co/read/896385/unpad-dukung-penetapan-ciletuh-palabuhanratu-jadi-geopark-unesco,0.84,0.97,0.16,0.35,1
611,2019,tribunnews,https://www.tribunnews.com/regional/2019/12/15/jamkrindo-ikut-hijaukan-geopark-ciletuh,0.76,0.96,0.39,0.94,1
612,2019,tribunnews,https://travel.tribunnews.com/2019/01/14/mengenal-4-geopark-di-asia-tenggara-yang-masuk-daftar-geopark-global-unesco,0.54,0.8,0.8,0.57,1
613,2018,tribunnews,https://www.tribunnews.com/travel/2018/10/08/yuk-dikunjungi-ini-4-spot-wisata-di-geopark-ciletuh-jawa-barat,0.82,0.99,0.85,0.93,1
614,2018,tribunnews,https://www.tribunnews.com/regional/2018/05/20/geopark-ciletuh-palabuhanratu-kini-resmi-gabung-unesco-global-geoparks,0.84,0.96,0.54,0.54,1
615,2018,tribunnews,https://www.tribunnews.com/travel/2018/02/11/wisata-alam-geopark-ciletuh-palabuhan-ratu,0.85,0.81,0.0,0.54,1
616,2016,tribunnews,https://www.tribunnews.com/regional/2016/07/10/ratusan-bidak-catur-raksasa-peninggalan-megalitikum-ditemukan-di-geopark-ciletuh,0.76,0.89,0.51,0.51,1
617,2017,tribunnews,https://www.tribunnews.com/regional/2017/09/25/demiz-undang-presiden-ke-ciletuh-desember-nanti?page=2,0.56,0.98,0.84,0.6,1
618,2020,tribunnews,https://www.tribunnews.com/regional/2020/01/24/jamkrindo-lakukan-pemberdayaan-berkelanjutan-di-geopark-ciletuh?page=2,0.76,0.78,0.76,0.92,1
619,2018,tribunnews,https://www.tribunnews.com/kilas-kementerian/2018/10/13/upacara-adat-syukur-bumi-awali-festival-geopark-ciletuh,0.77,0.96,0.85,0.94,1
620,2018,tribunnews,https://www.tribunnews.com/nasional/2018/04/16/50-atlet-paralayang-beraksi-di-funday-geopark-ciletuh,0.76,0.92,0.0,0.0,1
