No,Media_Online,Seed_URL
221,kumparan,https://kumparan.com/kumparantravel/5-penginapan-dekat-geopark-ciletuh-yang-bikin-liburanmu-makin-seru-1553762313675723717
222,kumparan,https://kumparan.com/sukabumi-update/bangkai-paus-terdampar-di-persisir-geopark-ciletuh-tak-jadi-dikubur-1rLMclqbogo
223,kumparan,https://kumparan.com/sukabumi-update/puncak-darma-punya-spot-baru-buat-nikmati-panorama-geopark-ciletuh-1rokBxMW3tP
224,kumparan,https://kumparan.com/sukabumi-update/objek-wisata-di-geopark-ciletuh-terancam-rusak-oleh-pengolahan-emas-1sBfNlbUWUY
225,kumparan,https://kumparan.com/sukabumi-update/berwisata-di-geopark-ciletuh-ciemas-naik-perahu-bisa-snorkeling-juga-1rrnHhwzvSc
226,kumparan,https://kumparan.com/ngopibareng/geopark-ciletuh-dapat-pengakuan-unesco-global-geopark
227,kumparan,https://kumparan.com/kumparantravel/7-wisata-alam-di-kawasan-geopark-ciletuh-yang-menarik-untuk-dikunjungi-1550555588295463614
228,kumparan,https://kumparan.com/sukabumi-update/bksda-paus-mati-di-geopark-ciletuh-jenis-pilot-1rLkXSeEVyG
229,kumparan,https://kumparan.com/sukabumi-update/geopark-ciletuh-ciemas-mulai-diserbu-pengunjung-luar-daerah-1rEJUbXL2Df
230,kumparan,https://kumparan.com/sukabumi-update/kebakaran-lahan-kembali-terjadi-di-kawasan-geopark-ciletuh-ciemas-1rYulT4sJ2s
231,kumparan,https://kumparan.com/kumparantravel/5-penginapan-dekat-geopark-ciletuh-yang-bikin-liburanmu-makin-seru-1553762313675723717
232,kumparan,https://kumparan.com/sukabumi-update/bangkai-paus-terdampar-di-persisir-geopark-ciletuh-tak-jadi-dikubur-1rLMclqbogo
233,kumparan,https://kumparan.com/sukabumi-update/puncak-darma-punya-spot-baru-buat-nikmati-panorama-geopark-ciletuh-1rokBxMW3tP
234,kumparan,https://kumparan.com/sukabumi-update/objek-wisata-di-geopark-ciletuh-terancam-rusak-oleh-pengolahan-emas-1sBfNlbUWUY
235,kumparan,https://kumparan.com/sukabumi-update/berwisata-di-geopark-ciletuh-ciemas-naik-perahu-bisa-snorkeling-juga-1rrnHhwzvSc
236,kumparan,https://kumparan.com/ngopibareng/geopark-ciletuh-dapat-pengakuan-unesco-global-geopark
237,kumparan,https://kumparan.com/kumparantravel/7-wisata-alam-di-kawasan-geopark-ciletuh-yang-menarik-untuk-dikunjungi-1550555588295463614
19,liputan6,https://www.liputan6.com/news/read/4105355/geopark-ciletuh-izu-peninsula-geopark-jalin-kerjasama-tingkatkan-ekonomi-dan-pariwisata
20,liputan6,https://www.liputan6.com/lifestyle/read/3954699/gaya-macho-ridwan-kamil-kendarai-motor-klasik-mewah-sambil-dipeluk-istri
21,liputan6,https://www.liputan6.com/regional/read/4181120/dampak-banjir-dan-longsor-akses-ke-geopark-ciletuh-terganggu?source=search
22,liputan6,https://www.liputan6.com/news/read/4105355/geopark-ciletuh-izu-peninsula-geopark-jalin-kerjasama-tingkatkan-ekonomi-dan-pariwisata?source=search
